"Threshold, e- for--->"	DIS S/N 0XX=01-16																															
Threshold voltage [V]	"Head H=0,1"																															
0.36630	7.004000000000000E+04																															
0.73260	7.733000000000000E+04																															
1.09890	1.050000000000000E+05																															
1.46520	1.623000000000000E+05																															
1.83150	2.784000000000000E+05																															
2.19780	5.557000000000000E+05																															
2.25890	6.264000000000000E+05																															
2.31990	7.040000000000000E+05																															
2.38100	8.069000000000000E+05																															
2.44200	9.579000000000000E+05																															
2.50310	1.184000000000000E+06																															
2.56410	1.503000000000000E+06																															
2.62520	1.898000000000000E+06																															
2.68620	2.346000000000000E+06																															
2.74730	2.828000000000000E+06																															
2.80830	3.306000000000000E+06																															
2.86940	3.649000000000000E+06																															
2.93040	3.824000000000000E+06																															
